mes-año;Acum_mensual;Prom_mensual
1/10/1985;395,5;12,75806452
1/11/1985;68,2;2,2
1/12/1985;0;0
1/1/1986;0;0
1/2/1986;0;0
1/3/1986;50,5;1,629032258
1/4/1986;0;0
1/5/1986;267,7;8,635483871
1/6/1986;222,3;7,170967742
1/7/1986;43,3;1,396774194
1/8/1986;160,5;5,177419355
1/9/1986;147,7;4,764516129
1/10/1986;349,2;11,26451613
1/11/1986;10,2;0,329032258
1/12/1986;0;0
1/1/1987;0;0
1/2/1987;0;0
1/3/1987;50,5;1,629032258
1/4/1987;0;0
1/5/1987;99;3,193548387
1/6/1987;325,1;10,48709677
1/7/1987;292;9,419354839
1/8/1987;62,1;2,003225806
1/9/1987;166,3;5,364516129
1/10/1987;172,1;5,551612903
1/11/1987;4,2;0,135483871
1/12/1987;11,5;0,370967742
1/1/1988;0;0
1/2/1988;0;0
1/3/1988;0;0
1/4/1988;0;0
1/5/1988;179;5,774193548
1/6/1988;418,4;13,49677419
1/7/1988;169,2;5,458064516
1/8/1988;546,9;17,64193548
1/9/1988;443,8;14,31612903
1/10/1988;411,6;13,27741935
1/11/1988;18;0,580645161
1/12/1988;0;0
1/1/1989;0;0
1/2/1989;0;0
1/3/1989;0;0
1/4/1989;0;0
1/5/1989;112,7;3,635483871
1/6/1989;372,9;12,02903226
1/7/1989;111,3;3,590322581
1/8/1989;254,7;8,216129032
1/9/1989;400,7;12,92580645
1/10/1989;207,1;6,680645161
1/11/1989;108,3;3,493548387
1/12/1989;61,5;1,983870968
1/1/1990;0;0
1/2/1990;0;0
1/3/1990;0;0
1/4/1990;0;0
1/5/1990;153,7;4,958064516
1/6/1990;136,3;4,396774194
1/7/1990;152,6;4,922580645
1/8/1990;131,4;4,238709677
1/9/1990;277;8,935483871
1/10/1990;425,8;13,73548387
1/11/1990;145,4;4,690322581
1/12/1990;26,3;0,848387097
1/1/1991;20,4;0,658064516
1/2/1991;0;0
1/3/1991;0;0
1/4/1991;0;0
1/5/1991;334,6;10,79354839
1/6/1991;243,1;7,841935484
1/7/1991;138,4;4,464516129
1/8/1991;112,5;3,629032258
1/9/1991;200;6,451612903
1/10/1991;247;7,967741935
1/11/1991;16,4;0,529032258
1/12/1991;52,8;1,703225806
1/1/1992;0;0
1/2/1992;0;0
1/3/1992;0;0
1/4/1992;0;0
1/5/1992;77,9;2,512903226
1/6/1992;419,5;13,53225806
1/7/1992;187,2;6,038709677
1/8/1992;131;4,225806452
1/9/1992;276,1;8,906451613
1/10/1992;334,3;10,78387097
